Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.77     0.00     1698     0.00     0.00  Game::is_terminal()
  0.00      1.77     0.00     1698     0.00     0.00  Node::is_terminal()
  0.00      1.77     0.00     1698     0.00     0.00  Node::get_depth()
  0.00      1.77     0.00     1602     0.00     0.00  std::_Base_bitset<1ul>::_M_do_set()
  0.00      1.77     0.00     1602     0.00     0.00  std::_Base_bitset<1ul>::_M_hiword()
  0.00      1.77     0.00     1600     0.00     0.00  Game::get_legal_moves(std::bitset<56ul>&)
  0.00      1.77     0.00     1600     0.00     0.00  Game::get_line_breakers(std::bitset<56ul>&)
  0.00      1.77     0.00     1600     0.00     0.00  std::_Base_bitset<1ul>::_M_is_any() const
  0.00      1.77     0.00     1600     0.00     0.00  std::bitset<56ul>::none() const
  0.00      1.77     0.00     1600     0.00     0.00  std::bitset<56ul>::_M_do_sanitize()
  0.00      1.77     0.00     1600     0.00     0.00  std::bitset<56ul>::set()
  0.00      1.77     0.00     1600     0.00     0.00  std::_Sanitize<56ul>::_S_do_sanitize(unsigned long&)
  0.00      1.77     0.00     1599     0.00     0.00  Game::get_result()
  0.00      1.77     0.00     1599     0.00     0.00  Game::do_move(unsigned long)
  0.00      1.77     0.00     1599     0.00     0.00  Move::Move(unsigned long)
  0.00      1.77     0.00     1599     0.00     0.00  Node::get_result()
  0.00      1.77     0.00     1599     0.00     0.00  Node::get_game()
  0.00      1.77     0.00     1599     0.00     0.00  Node::set_visit(unsigned long)
  0.00      1.77     0.00     1599     0.00     0.00  Trainer::place_next(Game const&, unsigned long, unsigned long, unsigned long)
  0.00      1.77     0.00     1599     0.00     0.00  Trainer::place(unsigned long, Game const&, unsigned long, unsigned long, unsigned long)
  0.00      1.77     0.00     1599     0.00     0.00  std::bitset<16ul>::reset()
  0.00      1.77     0.00     1599     0.00     0.00  std::bitset<56ul>::_Unchecked_set(unsigned long, int)
  0.00      1.77     0.00     1404     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.77     0.00     1386     0.00     0.00  std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const
  0.00      1.77     0.00     1287     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::deallocate(unsigned int*, unsigned long)
  0.00      1.77     0.00     1287     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::allocate(unsigned long, void const*)
  0.00      1.77     0.00     1287     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::_M_max_size() const
  0.00      1.77     0.00     1287     0.00     0.00  std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_allocate_node()
  0.00      1.77     0.00     1287     0.00     0.00  std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_deallocate_node(unsigned int*)
  0.00      1.77     0.00     1287     0.00     0.00  std::allocator_traits<std::allocator<unsigned int> >::deallocate(std::allocator<unsigned int>&, unsigned int*, unsigned long)
  0.00      1.77     0.00     1287     0.00     0.00  std::allocator_traits<std::allocator<unsigned int> >::allocate(std::allocator<unsigned int>&, unsigned long)
  0.00      1.77     0.00     1248     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      1.77     0.00     1248     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      1.77     0.00     1246     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      1.77     0.00     1246     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      1.77     0.00     1188     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::size() const
  0.00      1.77     0.00     1188     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::max_size() const
  0.00      1.77     0.00     1188     0.00     0.00  std::allocator_traits<std::allocator<unsigned int> >::max_size(std::allocator<unsigned int> const&)
  0.00      1.77     0.00     1188     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::_S_max_size(std::allocator<unsigned int> const&)
  0.00      1.77     0.00     1188     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::_M_pop_front_aux()
  0.00      1.77     0.00     1188     0.00     0.00  void std::deque<unsigned int, std::allocator<unsigned int> >::_M_push_back_aux<unsigned int>(unsigned int&&)
  0.00      1.77     0.00     1188     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::_M_reserve_map_at_back(unsigned long)
  0.00      1.77     0.00     1188     0.00     0.00  std::operator-(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&)
  0.00      1.77     0.00     1160     0.00     0.00  std::bitset<56ul>::_Unchecked_set(unsigned long)
  0.00      1.77     0.00      594     0.00     0.00  unsigned int** std::__niter_base<unsigned int**>(unsigned int**)
  0.00      1.77     0.00      510     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00      1.77     0.00      396     0.00     0.00  unsigned int** std::__miter_base<unsigned int**>(unsigned int**)
  0.00      1.77     0.00      204     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
  0.00      1.77     0.00      204     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator()
  0.00      1.77     0.00      198     0.00     0.00  TrainMC::get_root()
  0.00      1.77     0.00      198     0.00     0.00  __gnu_cxx::new_allocator<unsigned int*>::new_allocator()
  0.00      1.77     0.00      198     0.00     0.00  std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_get_map_allocator() const
  0.00      1.77     0.00      198     0.00     0.00  std::allocator<unsigned int*>::allocator<unsigned int>(std::allocator<unsigned int> const&)
  0.00      1.77     0.00      198     0.00     0.00  std::allocator<unsigned int*>::~allocator()
  0.00      1.77     0.00      198     0.00     0.00  unsigned int** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned int*>(unsigned int* const*, unsigned int* const*, unsigned int**)
  0.00      1.77     0.00      198     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_Deque_iterator()
